Lithuania,"Litáen
Lietuva",Litáen,litáíska ,litáísku 
Lebanon,Líbanon,Líbanon,"arabíska 
","arabísku 
"
Liberia,Líbería,Líberíu,enska,ensku
Libya,Líbía,Líbíu,arabíska ,arabísku 
Luxem­bourg,Lúxem­borg,Lúxemborg,"franska
lúxem­borgska 
þýska ","frönsku
lúxem­borgsku 
þýsku "
Madagas­car,Madag­askar,Madagaskar,"enska 
franska
mal­agas­íska ","ensku 
frönsku
mal­agas­ísku "
Mal­aysia,Malasía,Malasíu,"mal­ajíska 
","mal­ajísku 
"
Malawi,Malaví,Malaví,"enska 
mal­avíska 
","ensku 
mal­avísku 
"
Maldives,Mald­ívur,Maldívum,mald­ívska ,mald­ívsku 
Mali,Malí,Malí,franska,frönsku
Malta,Malta,Möltu,"enska 
malt­neska ","ensku 
malt­nesku "
Morocco,Mar­okkó,Marokkó,arabíska ,arabísku 
"Marshall
Islands
(the)",Marshall-eyj­ar,Marshall-eyjum,"enska 
marshall­eyska ","ensku 
marshall­eysku "
Maurit­ania,Máritanía,Máritaníu,arabíska ,arabísku 
Mauritius,Máritíus,Máritíus,enska,ensku
Mexico,Mexíkó,Mexíkó,"spænska 
 ","spænsku 
 "
"Central
African
Republic
(the)",Mið-Afríku­lýðveld­ið,Mið-Afríkulýðveldinu,"franska 
sangó 
","frönsku 
sangó 
"
Equator­ial Guinea,Mið­baugs-Gínea,Miðbaugs-Gíneu,"franska 
port­úgalska 
spænska 
 ","frönsku 
port­úgölsku 
spænsku 
 "
"Micro­nesia
(Federated
States
of)",Míkró­nesía,Míkrónesíu,enska,ensku
Myanmar,"Mjanmar
Myanmar",Mjanmar,búrm­neska ,búrm­nesku 
"Moldova
(the
Republic
of)",Mold­óva,Moldóvu,mold­óvska ,mold­óvsku 
Mongolia,Mongólía,Mongólíu,mong­ólska ,mong­ólsku 
Monte­negro,"Svart­fjalla­land
Mont­en­egró",Svartfjallalandi,svart­fellska ,svart­fellsku 
Monaco,Mónakó,Mónakó,franska ,frönsku 
Mozam­bique,Mós­ambík,Mósambík,port­úgalska ,port­úgölsku 
Namibia,Namibía,Namibíu,enska,ensku
Nauru,Naúrú,Naúrú,"enska 
naúrúska 
","ensku 
naúrúsku 
"
Nepal,Nepal,Nepal,nepalska ,nepölsku 
Nicar­agua,"Níkaragva
Nicaragua",Níkaragva,"spænska 
 ","spænsku 
 "
"Nether­lands
(the)","Niðurland → 
Holland,
Niðurland",Hollandi / Niðurlandi,hol­lenska ,hol­lensku 
Niger (the),Níger,Níger,franska,frönsku
Nigeria,Nígería,Nígeríu,enska,ensku
North Mace­donia,Norður-Make­dónía,Norður-Makedóníu,make­dónska ,make­dónsku 
Norway,Noregur,Noregi,norska ,norsku 
New Zealand,Nýja-Sjáland,Nýja-Sjálandi,"enska 
maóríska ","ensku 
maórísku "
Oman,Óman,Óman,arabíska,arabísku
Pakistan,Pakistan,Pakistan,"enska 
úrdú 
","ensku 
úrdú 
"
Palau,Palaú,Palaú,"enska 
pal­aúska 
","ensku 
pal­aúsku 
"
"Palestine,
State
of",Palestína,Palestínu,arabíska ,arabísku 
Panama,Panama,Panama,"spænska 
 ","spænsku 
 "
Papua New Guin­ea,Papúa Nýja-Gín­ea,Papúa Nýja-Gíneu,"enska 
hírímótú 
tokpísín ","ensku 
hírímótú 
tokpísín "
Paraguay,"Para­gvæ
Para­guay",Paragvæ,"gvar­an­íska 
spænska
 ","gvar­an­ísku 
spænsku
 "
Vatican City State,"Páfa­garður
Vatík­anið",Vatíkaninu,ítalska,ítölsku
Holy See (the),Páfastóll,Páfastóli,"ítalska 

latína 
","ítölsku 

latínu"
Peru,Perú,Perú,"aímara 
kets­úska 
spænska 
 ","aímara 
kets­úsku 
spænsku 
 "
Portugal,Portúgal,Portúgal,port­úgalska ,port­úgölsku 
